"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameover\routes.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 3, 79
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\loading\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\loading\index.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\desItem\index.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\desItem\index.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\verificationImg\index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 6, 31
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\component\verificationImg\index.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\index.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 6, 10, 129
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\login\index.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 60
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\register\index.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 2, 5, 98
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\register\index.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\containerMain\components.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 2, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\containerMain\index.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 16, 5, 50
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\header\index.js", "JavaScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 71, 16, 198
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\components\header\index.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\index.js", "JavaScript", 0, 0, 0, 144, 0, 0, 0, 0, 0, 6, 6, 156
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\index.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 10, 146
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userList\index.js", "JavaScript", 0, 0, 0, 352, 0, 0, 0, 0, 0, 97, 24, 473
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userList\index.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 6, 31
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userapproval\index.js", "JavaScript", 0, 0, 0, 366, 0, 0, 0, 0, 0, 68, 24, 458
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\ManageUsers\userapproval\index.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\advertisingInvestmentAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\comprehensiveMarketShareAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\costToSalesAnalysis\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\teacher\pages\businessValuation\costToSalesChange\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
